"id","name","longitude","latitude","class","color"
"ense1","CEIPS San Blas","-3.4864147","40.5398855","ense","#ffa258"
"ense2","CEIP El Álamo","-3.9866616152025065","40.22966409648324","ense","#ffa258"
"ense3","CEIP Antonio de Nebrija","-3.3728564","40.4909098","ense","#ffa258"
"ense4","CEIP Cardenal Cisneros","-3.3698526","40.4816475","ense","#ffa258"
"ense5","CEIP Cervantes","-3.3591425","40.4834454","ense","#ffa258"
"ense6","CEIP Daoiz y Velarde","-3.3679428","40.4872441","ense","#ffa258"
"ense7","CEIP Reyes Católicos","-3.3748087","40.4745702","ense","#ffa258"
"ense8","CEIP Emperador Fernando","-3.3730148","40.471635","ense","#ffa258"
"ense9","CEIP El Juncal","-3.379426","40.476214","ense","#ffa258"
"ense10","IES Complutense","-3.34796","40.48402","ense","#ffa258"
"ense11","CEIP Ntra. Sra. del Val","-3.3464352","40.4917773","ense","#ffa258"
"ense12","CEIP Doctora de Alcalá","-3.3597363","40.49023469999999","ense","#ffa258"
"ense13","IES Alonso de Avellaneda","-3.3439391","40.4896895","ense","#ffa258"
"ense14","IES Antonio Machado","-3.3693174","40.49097889999999","ense","#ffa258"
"ense15","CEIP Infanta Catalina","-3.3746569","40.4740394","ense","#ffa258"
"ense16","CEIP Federico García Lorca","-3.6488432","40.5460633","ense","#ffa258"
"ense17","CEIP Antonio Machado","-3.6390018","40.5464887","ense","#ffa258"
"ense18","IES Francisco Giner de los Ríos","-3.602656","40.527396","ense","#ffa258"
"ense19","CEIP Daoiz y Velarde","-3.6610238","40.5433691","ense","#ffa258"
"ense20","CEIP Carmen Conde","-3.8346162","40.3426299","ense","#ffa258"
"ense21","CEIP Daniel Martín","-3.82265","40.34355","ense","#ffa258"
"ense22","CEIP Párroco D. Victoriano","-3.8195421","40.3445349","ense","#ffa258"
"ense23","CEIP Ntra. Sra. de Fátima","-4.1996516","40.3242699","ense","#ffa258"
"ense24","CEIP Obispo Moscoso","-3.4973955","40.5999566","ense","#ffa258"
"ense25","CEIP Santa Quiteria","-4.0198729","40.6551181","ense","#ffa258"
"ense26","CEIP San José de Calasanz","-3.5978271","40.0276591","ense","#ffa258"
"ense27","CEIP Vicente Aleixandre","-3.6082884","40.0293635","ense","#ffa258"
"ense28","CEIP San Isidro","-3.5915315","40.0327818","ense","#ffa258"
"ense29","IES Domenico Scarlatti","-3.6092111","40.0295469","ense","#ffa258"
"ense30","CEE Príncipe de Asturias","-3.6112842","40.0297566","ense","#ffa258"
"ense31","IES Jorge Manrique","-3.703934","40.5917481","ense","#ffa258"
"ense32","CEIP Ntra. Sra. de la Milagrosa","-3.4456145","40.3000985","ense","#ffa258"
"ense33","IES El Carrascal","-3.4429578","40.2921579","ense","#ffa258"
"ense34","CEIP San Juan Bautista","-3.438345","40.29665420000001","ense","#ffa258"
"ense35","CEIP El Torreón","-3.918807199999999","40.2674654","ense","#ffa258"
"ense36","CEIPS Juan Ramón Jiménez","-3.9907839","40.7139618","ense","#ffa258"
"ense37","CEIP Belmonte de Tajo","-3.33588","40.1345037","ense","#ffa258"
"ense38","CEIPS Príncipe Don Felipe","-3.8800677","40.4079207","ense","#ffa258"
"ense39","CEIPS San Sebastián","-3.9019659737279744","40.71412340000661","ense","#ffa258"
"ense40","CEIP Batalla de Brunete","-4.001094","40.4063336","ense","#ffa258"
"ense41","CEIP Peñalta","-3.6403235","40.9920222","ense","#ffa258"
"ense42","CEIP Montelindo","-3.7026450868958376","40.86068028720266","ense","#ffa258"
"ense43","CEIP Pico de la Miel","-3.6088203","40.8721277","ense","#ffa258"
"ense44","CEIPS Eugenio Muro","-4.4499605","40.3019104","ense","#ffa258"
"ense45","CEIPS Federico García Lorca","-3.3750747","40.5482768","ense","#ffa258"
"ense46","CEIP Miguel Delibes","-3.372806","40.34077449999999","ense","#ffa258"
"ense47","CEIP Tomé y Orgaz","-3.82525","40.16978","ense","#ffa258"
"ense48","CEIPS Suárez Somonte","-4.4672228","40.2614169","ense","#ffa258"
"ense49","CEIP Vía Romana","-4.048774","40.740802","ense","#ffa258"
"ense50","CEIP Ventura Rodríguez","-3.629637","40.15613310000001","ense","#ffa258"
"ense51","IES Juan Carlos I","-3.6217275","40.1534621","ense","#ffa258"
"ense52","CEIP Virgen del Consuelo","-3.6207908","40.1565891","ense","#ffa258"
"ense53","CEIPS Villa de Cobeña","-3.5061028","40.5699314","ense","#ffa258"
"ense54","CEIP Apis Aurelia","-3.3920406","40.1135014","ense","#ffa258"
"ense55","CEIP Seis de Diciembre","-4.014523899999999","40.5573025","ense","#ffa258"
"ense56","CEIP Soledad Sainz","-3.7639123","40.6594608","ense","#ffa258"
"ense57","CEIP Virgen de los Remedios","-3.7675326","40.6620117","ense","#ffa258"
"ense58","IES Marqués de Santillana","-3.770759","40.6693344","ense","#ffa258"
"ense59","CEIP Virgen de la Paz","-4.0316515","40.6945682","ense","#ffa258"
"ense60","CEIP Cañada Real","-4.0124643","40.6376711","ense","#ffa258"
"ense61","CEIP Miguel Delibes","-4.000693399999999","40.6274084","ense","#ffa258"
"ense62","IES Jaime Ferrán","-4.002399899999999","40.6381408","ense","#ffa258"
"ense63","CEIP San Pablo","-3.5685767","40.42747689999999","ense","#ffa258"
"ense64","CEIP San Esteban","-3.5312296","40.43883659999999","ense","#ffa258"
"ense65","IES Miguel Catalán","-3.5482853","40.4288845","ense","#ffa258"
"ense66","CEIP Ntra. Sra. de La Soledad","-3.830620999999999","40.1933487","ense","#ffa258"
"ense67","CEIP Hermanos Ortiz de Zárate","-3.4187893","40.1376246","ense","#ffa258"
"ense68","CEIP Ángel Berzal Fernández","-3.4531515","40.5502376","ense","#ffa258"
"ense69","CEIPI Felipe II","-4.1243473","40.581721","ense","#ffa258"
"ense70","EEI Padre Gerardo Gil","-4.1268927","40.5841491","ense","#ffa258"
"ense71","CEIP Carlos Ruiz","-3.1073043","40.1829386","ense","#ffa258"
"ense72","CEIP San Esteban","-3.789828399999999","40.2868932","ense","#ffa258"
"ense73","CEIPS Martína García","-3.5155931","40.6296617","ense","#ffa258"
"ense74","CEIP Alarilla","-3.1610997","40.1162643","ense","#ffa258"
"ense75","CEIP Carlos Ruiz","-4.0070733","40.5749485","ense","#ffa258"
"ense76","CEIP San Gregorio","-3.9571663","40.5761061","ense","#ffa258"
"ense77","CEIP La Alhóndiga","-3.7381769","40.3066191","ense","#ffa258"
"ense78","CEIP Ortiz Echague","-3.7237682","40.3125995","ense","#ffa258"
