company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,1 DE COPAS,"CENTRO COMERCIAL PARQUE CEUTA, 2, Ceuta",35.8938017,-5.329241199999999,51001,Ceuta,Ceuta,Ceuta,Spain
codere,100 TAPAS,"RIANXO, 5, Coruña",43.3528404,-8.4011579,15009,A Coruña,A Coruña,Galicia,Spain
codere,2515,"VILLA DE NEGREIRA, 51, A Coruña",43.3636431,-8.421814099999999,15010,A Coruña,A Coruña,Galicia,Spain
codere,3 TS,"BLAS DE OTERO, 56, Bilbao",43.2696981,-2.952402,48014,Bilbao,Bilbao,Basque Country,Spain
codere,4 ESTACIONES,"PLACITUELA DEL CUARTEL, 2, Navas del Rey",40.3849428,-4.25119,28695,Navas del Rey,Navas del Rey,Community of Madrid,Spain
codere,40 Y TANTOS,"PASEO DO BALNEARIO, 2, Arteixo",43.3040075,-8.507205899999999,15142,Arteixo,Arteixo,Galicia,Spain
codere,44 Y PICO,"NAVARRERIA, 43, Estella-Lizarra",42.6721757,-2.0296894,31200,Estella,Estella-Lizarra,Navarre,Spain
codere,6 Grados,"Monasterio Caaveiro, 6, A Coruña",43.3619126,-8.425416600000002,15010,A Coruña,A Coruña,Galicia,Spain
codere,67,"Calle CONCEPCION ARENAL, 67, Narón",43.4942798,-8.202297300000001,15570,Narón,Narón,Galicia,Spain
codere,AYALA COMERCIAL,"DE LA INSTITUCION LIBRE DE ENSEÑANZA, 1, Madrid",40.4348289,-3.6967725,28010,Madrid,Madrid,Community of Madrid,Spain
codere,BINGO APHISA,"Calle MANUEL AZAÑA, 18, Alcalá de Henares",40.4878554,-3.3603563,28805,Alcala de Henares,Alcalá de Henares,Community of Madrid,Spain
codere,BINGO CHAL CHAL,"JOSE MARIA LACARRA DE MIGUEL, 6, Zaragoza",41.6462635,-0.8833082,50008,Zaragoza,Zaragoza,Aragon,Spain
codere,BINGO IMPERIAL,"ESPAÑA, 28, Linea De La Concepcion",36.1609112,-5.3515824,11300,La Línea de la Concepción,La Línea de la Concepción,Andalusia,Spain
codere,BINGO LA JONQUERA,"P.I. MAS Morato, Avinguda de Galícia, 2, La Jonquera",42.3976665,2.8826584,17700,,La Jonquera,Catalonia,Spain
codere,BINGO LOS ROSALES,"Plaza de los Geranios, 1, Línea De La Concepcion",36.1609112,-5.3515824,11300,La Línea de la Concepción,La Línea de la Concepción,Andalusia,Spain
codere,BINGO SAN BLAS,"Calle POBLADURA DEL VALLE, 15, Madrid",40.427477,-3.6173082,28037,Madrid,Madrid,Community of Madrid,Spain
codere,Bingo Gran Sur Leganes,"Rey Juan Carlos I, 86-88 - Leganés, Leganes",40.3357501,-3.742622,28916,Leganés,Leganés,Community of Madrid,Spain
codere,Bingo P Sala Bingo Oporto,"OPORTO, 4, Madrid",40.3853893,-3.7186466,28019,Madrid,Madrid,Community of Madrid,Spain
codere,Bingo Ronda,"OUTEIRO, 253, A Coruña",43.3613384,-8.4219062,15010,A Coruña,A Coruña,Galicia,Spain
codere,C4sino Centro,"Julio Saez De La Hoya, 4",42.3479351,-3.6903649,09080,Burgos,Burgos,Castile and León,Spain
codere,CASINO ADMIRAL SAN ROQUE,Carretera Nacional 340 (km 124 cr Cadiz Malaga),36.2300153,-5.358679899999999,11360,,San Roque,Andalusia,Spain
codere,CASINO ADMIRAL SEVILLA,"ARBOLEDA, 0, Tomares",37.3715792,-6.0368667,41940,Tomares,Tomares,Andalusia,Spain
codere,CASINO LA ESTACION,"ESTACION, S/N, Torrejon De Ardoz",40.454943,-3.4803772,28850,Torrejón de Ardoz,Torrejón de Ardoz,Community of Madrid,Spain
codere,CASINO PARK BRAVO MURILLO,"Calle BRAVO MURILLO, 303, Madrid",40.46217190000001,-3.697791799999999,28020,Madrid,Madrid,Community of Madrid,Spain
codere,CERVANTES,"PASEO DE RONDA, 24, Coruña",43.3676995,-8.420569,15011,A Coruña,A Coruña,Galicia,Spain
codere,CORSAN,"NA SAURINA D´ENTENZA, 16",38.70054,-0.480916,03803,Alcoi,Alcoy,Valencian Community,Spain
codere,Casino Park Cigüeña,"Calle CIGÜEÑA, 39, Logroño",42.46498,-2.4313173,26004,Logroño,Logroño,La Rioja,Spain
codere,Colon,"Calle COLON, 9, Vigo",42.24059889999999,-8.7207268,36201,Vigo,Vigo,Galicia,Spain
codere,EL MOLINO,"Calle LEPANTO, 1, Talavera de la Reina",39.9622555,-4.818489899999999,45600,Talavera de la Reina,Talavera de la Reina,Castile-La Mancha,Spain
codere,ELECTRONICS GIRONA,"Paseo CANALEJAS, 1, Girona",41.986463,2.823635,17001,Girona,Girona,Catalonia,Spain
codere,Establecimiento de Juegos Europa,"Avenida Europa, 17, Sonseca",39.6809922,-3.9711007,45100,Sonseca,Sonseca,Castile-La Mancha,Spain
codere,F P LBO VALDEMORO,"Mediterraneo, 140, Valdemoro",40.1912403,-3.6740182,28341,Valdemoro,Valdemoro,Community of Madrid,Spain
codere,FP LBO CALLE VALENCIA,"VALENCIA, 6, Fuenlabrada",39.4736897,-0.4118149,46920,Valencia,Valencia,Valencian Community,Spain
codere,FP LBO CARABANCHEL ALTO,"CARABANCHEL ALTO, 62, Madrid",40.3700456,-3.753296,28044,Madrid,Madrid,Community of Madrid,Spain
codere,FP LBO COLMENAR DE OREJA,"MADRID, 2",40.1098823,-3.39055,28380,Colmenar de Oreja,Colmenar de Oreja,Community of Madrid,Spain
codere,FP LBO GENERAL RICARDOS 83,"GENERAL RICARDOS, 83, Madrid",40.3935402,-3.722784099999999,28019,Madrid,Madrid,Community of Madrid,Spain
codere,FP LBO USERA,"JULIO MERINO, 3, Madrid",40.3830707,-3.7027785,28026,Madrid,Madrid,Community of Madrid,Spain
codere,GRAN CASTELLON,"RAMON Y CAJAL, 29",39.9810639,-0.0386392,12002,Castellón de la Plana,Castellón de la Plana,Valencian Community,Spain
codere,ISLA DE PAQUETA,"ZAMORA, 78, Vigo",42.2208668,-8.7307809,36211,Vigo,Vigo,Galicia,Spain
codere,JACKPOT,"Calle CIRCUMVALACIO, 6, Manresa",37.2273788,-121.9808364,95030,Los Gatos,,California,United States
codere,JOKER ADRA PASEO,"MARITIMO, 58",36.74778999999999,-3.02155,04770,Adra,Adra,Andalusia,Spain
codere,JOKER AEROPUERTO,"DEL AEROPUERTO, 5",25.9926501,-111.3529565,,,,Baja California Sur,Mexico
codere,JOKER AGUIRRE,"Calle FRANCISCO AGUIRRE, 200, Talavera de la Reina",39.96871050000001,-4.829072399999999,45600,Talavera de la Reina,Talavera de la Reina,Castile-La Mancha,Spain
codere,JOKER ALBACETE,"Calle HELLIN, 5, Albacete",38.9832298,-1.8578213,02002,Albacete,Albacete,Castile-La Mancha,Spain
codere,JOKER ALGECIRAS CARMEN,"DEL CARMEN, 61",36.1361332,-5.446272899999999,11202,Algeciras,Algeciras,Andalusia,Spain
codere,JOKER ALGECIRAS PLAZAANDALUCIA,ANDALUCIA,36.132071,-5.452078999999999,11201,Algeciras,Algeciras,Andalusia,Spain
codere,JOKER ALICANTE,"Rambla MENDEZ NUÑEZ, 9, Alacant",38.3447781,-0.4837015,03001,Alicante,Alicante,Valencian Community,Spain
codere,JOKER ALMUÑECAR,"ANDALUCIA, 25",36.7774061,-3.7333537,18690,,Almuñécar,Andalusia,Spain
codere,JOKER ANDUJAR LOND,"LONDRES, 3",51.5073509,-0.1277583,SW1A,London,,England,United Kingdom
codere,JOKER BAILEN ORTEGA,"ORTEGA Y GASSET, 1",38.0963811,-3.7789691,23710,Bailén,Bailén,Andalusia,Spain
codere,JOKER CIUDAD REAL,"Calle MORERIA, 21, Ciudad Real",38.9862403,-3.9332052,13002,Ciudad Real,Ciudad Real,Castile-La Mancha,Spain
codere,JOKER CONSTITUCION,"DE LA CONSTITUCION, 23",,,,,,,
codere,JOKER CORDOBA FORMENTERA,"ISLA FORMENTERA, 8 ESQ. ISLA DEL HIERRO, Cordoba",37.8881569,-4.798958499999999,14011,Córdoba,Córdoba,Andalusia,Spain
codere,JOKER CORDOBA GRANADA,"GRANADA, 15",37.8881751,-4.7793835,14001,Córdoba,Córdoba,Andalusia,Spain
codere,JOKER CORDOBA NASIR,"ALNASIR, 10",37.8951701,-4.776410800000001,14006,Córdoba,Córdoba,Andalusia,Spain
codere,JOKER CREVILLENTE,"Calle SAN VICENTE FERRER, 15, Crevillent",38.2459248,-0.8073543,03330,Crevillent,Crevillent,Valencian Community,Spain
codere,JOKER EJIDO STAMARIA,"SANTA MARIA DEL AGUILA, 47",36.7851163,-2.7719388,04710,Santa María del Águila,El Ejido,Andalusia,Spain
