CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28000029,CEIPS San Blas,"Calle Víctor Hurtado, s/n",002,Ajalvir,4487835,458854
28000042,CEIP El Álamo,"Calle Río Alagón, 14",004,Álamo (El),4453715,416061
28000054,CEIP Antonio de Nebrija,"Calle San Ignacio de Loyola, 13",005,Alcalá de Henares,4482313,468386
28000066,CEIP Cardenal Cisneros,"Calle San Juan, 2",005,Alcalá de Henares,4481259,468658
28000078,CEIP Cervantes,"Calle Giner de los Ríos, 5",005,Alcalá de Henares,4481496,469552
28000081,CEIP Daoiz y Velarde,"Calle Infantado, 2",005,Alcalá de Henares,4481956,468826
28000111,CEIP Reyes Católicos,"Calle San Vidal, 4",005,Alcalá de Henares,4480481,468204
28000315,CEIP Emperador Fernando,"Calle Ronda Fiscal, 44",005,Alcalá de Henares,4480180,468369
28000339,CEIP El Juncal,"Calle Núñez de Guzmán, 31",005,Alcalá de Henares,4480671,467839
28000364,IES Complutense,"Calle Valladolid, 1",005,Alcalá de Henares,4481599,470510
28000376,CEIP Ntra. Sra. del Val,"Calle Ávila, s/n c/v Calle Zaragoza",005,Alcalá de Henares,4481842,470983
28000388,CEIP Doctora de Alcalá,"Calle Pedro Sarmiento de Gamboa, 9-11",005,Alcalá de Henares,4482277,469503
28000467,IES Alonso de Avellaneda,"Calle Vitoria, 3",005,Alcalá de Henares,4482290,471020
28000522,IES Antonio Machado,"Calle Alalpardo, s/n",005,Alcalá de Henares,4482385,468653
28000558,CEIP Infanta Catalina,"Calle San Vidal, 6",005,Alcalá de Henares,4480446,468246
28000595,CEIP Federico García Lorca,"Calle Marqués de La Valdavia, 91",006,Alcobendas,4488555,445032
28000601,CEIP Antonio Machado,"Calle Miraflores, 59",006,Alcobendas,4488610,445886
28000753,IES Francisco Giner de los Ríos,"Ctra de Barajas, 1,2",006,Alcobendas,4487417,447565
28000765,CEIP Daoiz y Velarde,"Avda Valdelaparra, 92",006,Alcobendas,4488355,444022
28000856,CEIP Carmen Conde,"Avda Oeste, 2-C",007,Alcorcón,4466121,429174
28001137,CEIP Daniel Martín,"Avda Alcalde José Aranda, 45-A",007,Alcorcón,4466549,430417
28001149,CEIP Párroco D. Victoriano,"Calle Olímpica Conchita Puig, 2",007,Alcorcón,4466209,430409
28001241,CEIP Ntra. Sra. de Fátima,"Calle Navayuncosa, 22",008,Aldea del Fresno,4464440,398058
28001277,CEIP Obispo Moscoso,"Calle Retamar, 10",009,Algete,4494426,457953
28001289,CEIP Santa Quiteria,"Calle Santa Quiteria, 45",010,Alpedrete,4500974,413796
28001371,CEIP San José de Calasanz,"Avda Plaza de Toros, 32",013,Aranjuez,4430989,448999
28001551,CEIP Vicente Aleixandre,"Calle Príncipe, 38",013,Aranjuez,4431855,448854
28001617,CEIP San Isidro,"Calle Cuarteles, 51",013,Aranjuez,4431552,449462
28001629,IES Domenico Scarlatti,"Calle Valeras, 22",013,Aranjuez,4431163,447937
28001642,CEE Príncipe de Asturias,"Calle Zorzales, 11",013,Aranjuez,4431228,447881
28001678,IES Jorge Manrique,"Calle Mar Adriático, 2",903,Tres Cantos,4493677,440430
28001681,CEIP Ntra. Sra. de la Milagrosa,"Calle Leonor de Cortinas, 2",014,Arganda del Rey,4461177,462133
28001769,IES El Carrascal,"Avda Instituto, 125",014,Arganda del Rey,4460031,462460
28001770,CEIP San Juan Bautista,"Calle Isaac Peral, 20",014,Arganda del Rey,4460784,462729
28001794,CEIP El Torreón,"Calle Serranillos, 6",015,Arroyomolinos,4457850,421877
28001812,CEIPS Juan Ramón Jiménez,"Paseo de San Sebastián, 21",018,Becerril de la Sierra,4507454,416322
28001824,CEIP Belmonte de Tajo,"Calle Tomás Díaz Vázquez, 8",019,Belmonte de Tajo,4442669,471487
28001848,CEIPS Príncipe Don Felipe,"Calle José Antonio, 48",022,Boadilla del Monte,4473347,425441
28001873,CEIPS San Sebastián,"Ctra de Cerceda a Manzanares, 10",023,Boalo (El),4507414,423816
28001940,CEIP Batalla de Brunete,"Calle Escorial, 32",026,Brunete,4473340,415050
28001952,CEIP Peñalta,"Calle Peñalta, s/n",027,Buitrago del Lozoya,4538091,446170
28001991,CEIP Montelindo,"Ctra de Valdemanco, 9 (Calle Canencia, 2)",028,Bustarviejo,4523529,440782
28002014,CEIP Pico de la Miel,"Calle Colegios, 28",030,Cabrera (La),4524769,448690
28002026,CEIPS Eugenio Muro,"Calle Carretera Rozas, 20",031,Cadalso de los Vidrios,4462335,376777
28002038,CEIPS Federico García Lorca,"Calle Huerta, 2",032,Camarma de Esteruelas,4488524,468258
28002041,CEIP Miguel Delibes,"Paseo Pozuelo, 31",033,Campo Real,4465657,468397
28002099,CEIP Tomé y Orgaz,"Avda Fernández Turbica, 2",036,Casarrubuelos,4446952,429658
28002105,CEIPS Suárez Somonte,"Calle Ronda del Sur, 71",037,Cenicientos,4457842,375195
28002129,CEIP Vía Romana,"Avda Blanca Fernández Ochoa, 5",038,Cercedilla,4510510,411461
28002166,CEIP Ventura Rodríguez,"Calle Fernández Vitorio, 12",040,Ciempozuelos,4445308,446562
28002181,IES Juan Carlos I,"Calle San Francisco, 1",040,Ciempozuelos,4444962,447036
28002191,CEIP Virgen del Consuelo,"Calle Jardines, 10",040,Ciempozuelos,4445312,447146
28002211,CEIPS Villa de Cobeña,"Calle Fuente, 19",041,Cobeña,4491136,457150
28002245,CEIP Apis Aurelia,"Calle Madrid, 28",043,Colmenar de Oreja,4440444,466595
28002269,CEIP Seis de Diciembre,"Calle Madrid, s/n c/v Calle Seis de Diciembre, 1",044,Colmenarejo,4490109,414106
28002270,CEIP Soledad Sainz,"Calle Amargura, 20",045,Colmenar Viejo,4501234,435433
28002282,CEIP Virgen de los Remedios,"Avda Libertad, 3",045,Colmenar Viejo,4501532,435134
28002312,IES Marqués de Santillana,"Calle Isla del Rey, 5",045,Colmenar Viejo,4502352,434845
28002361,CEIP Virgen de la Paz,"Calle Goya, 5",046,Collado Mediano,4505337,412838
28002385,CEIP Cañada Real,"Calle El Almiar, 35",047,Collado Villalba,4498973,414382
28002403,CEIP Miguel Delibes,"Calle Ruiz de Alarcón, 8",047,Collado Villalba,4497792,415408
28002415,IES Jaime Ferrán,"Calle Matalpino, 22",047,Collado Villalba,4499106,415226
28002464,CEIP San Pablo,"Calle Iglesia, 13",049,Coslada,4475359,451771
28002543,CEIP San Esteban,"Avda San Pablo, 29",049,Coslada,4476444,454878
28002580,IES Miguel Catalán,"Avda José Gárate, 17",049,Coslada,4475870,454063
28002609,CEIP Ntra. Sra. de La Soledad,"Calle Francisco de Quevedo, 1",050,Cubas de la Sagra,4449564,429273
28002646,CEIP Hermanos Ortiz de Zárate,"Calle Sociedad de Cosecheros, 2",052,Chinchón,4443101,464322
28002671,CEIP Ángel Berzal Fernández,"Cmno del Fresno de Torote, s/n",053,Daganzo de Arriba,4488912,461590
28002695,CEIPI Felipe II,"Calle Alfonso XIII, 5",054,Escorial (El),4492808,404880
28002713,EEI Padre Gerardo Gil,"Calle Padre Villacastín, s/n",054,Escorial (El),4493202,404658
28002737,CEIP Carlos Ruiz,"Calle Prado, 2",055,Estremera,4448100,490840
28002804,CEIP San Esteban,"Calle Ángeles, 13",058,Fuenlabrada,4459865,432929
28002853,CEIPS Martína García,"Avda Julián Sánchez, 17",059,Fuente El Saz de Jarama,4497763,456391
28002865,CEIP Alarilla,"Calle Virgen de Alarilla, 10",060,Fuentidueña de Tajo,4440697,486242
28002877,CEIP Carlos Ruiz,"Calle Colmenarejo, 40 c/v Calle Escorial, 38",061,Galapagar,4492078,414805
28002890,CEIP San Gregorio,"Ctra de Galapagar-La Navata, 9",061,Galapagar,4492953,415550
28002944,CEIP La Alhóndiga,"Calle Buenavista, 26",065,Getafe,4462053,437277
28002956,CEIP Ortiz Echague,"Calle Titulcia, 24",065,Getafe,4462680,438491
28002968,CEIP Santa Margarita María Alacoque,"Avda Ciudades, 21",065,Getafe,4463250,438663
28002981,CEIP Sagrado Corazón,"Calle Guadalajara, 2",065,Getafe,4461980,437744
28003201,IES Matemático Puig Adam,"Calle Toledo, 46",065,Getafe,4461247,437514
28003286,CEIP Seseña y Benavente,"Calle Alemania, 1",065,Getafe,4464299,437322
28003304,IES Alarnes,"Calle Toledo, 44",065,Getafe,4461315,437551
28003316,CEIP San José de Calasanz,"Calle Núñez de Balboa, 10",065,Getafe,4462477,437913
28003328,CEIP Ciudad de Madrid,"Avda Ciudades, 23",065,Getafe,4463183,438765
28003407,CEIP Garcilaso de la Vega,"Calle Fuente de La Salud, 32",066,Griñón,4451975,427520
28003420,CEIP Alejandro Rubio,"Calle Prado Panetes, 36",067,Guadalix de la Sierra,4514709,441335
28003456,CEIP Villa de Guadarrama,"Calle Escoriales, 11",068,Guadarrama,4502311,407984
28003481,CEIP Virgen de la Encina,"Calle Hurtada, 57",072,Hoyo de Manzanares,4497511,423851
28003493,CEIP Hermanos Torá,"Calle Conde, 3",073,Humanes de Madrid,4455771,429380
28003501,CEIP Calderón de la Barca,"Calle Río Duero, 24",074,Leganés,4465285,434864
28003523,CEIP Lepanto,"Calle Río Manzanares, 37",074,Leganés,4465325,434625
28003535,CEIP Marqués de Leganés,"Calle Pizarro, 4",074,Leganés,4464101,434746
28003778,CEIP Gonzalo de Berceo,"Calle San Bernardo, 13",074,Leganés,4468052,433827
28003791,CEIP Victor Pradera,"Calle Monegros, 27",074,Leganés,4465613,435943
28003833,CEIP Miguel de Cervantes,"Calle Aragón, 19",074,Leganés,4464836,433624
28003845,CEIP Ortega y Gasset,"Calle Rioja, 76",074,Leganés,4464617,436100
28003857,CEIP Aben Hazam,"Calle Bureba, 22",074,Leganés,4464894,436186
28003882,IES José de Churriguera,"Calle Constitución de Cádiz, 1",074,Leganés,4463880,435252
28003894,IES Luis Víves,"Paseo Ermita, 15",074,Leganés,4465674,435060
28003900,IES María Zambrano,"Calle Alpujarras, 52",074,Leganés,4464718,436494
28003961,CEIP Duque de Alba,"Avda Argentina, 2",075,Loeches,4469980,464903
28004059,IES Cervantes,"Calle Embajadores, 70",079,Madrid,4473040,440326
28004266,CEIP Dámaso Alonso,"Avda Espinela, 1",079,Madrid,4466410,439803
28004436,EA Francisco Alcántara,"Calle Francisco y Jacinto Alcántara, 2",079,Madrid,4475377,438560
28004552,CEIP Isaac Albéniz,"Calle Drácena, 29",079,Madrid,4479516,443275
28004904,CEIP Ciudad de Jaén,"Calle Madre Rosa Blanco, 3",079,Madrid,4469319,440491
28004941,CEIP Vasco Núñez de Balboa,"Calle Nuestra Señora de Valverde, 149",079,Madrid,4483441,441829
28004965,CEIP Escuelas Aguirre,"Calle Pío Baroja, 4",079,Madrid,4473993,442775
28004989,CEIP Agustína Díez,"Calle Vesubio, 5",079,Madrid,4471061,445070
28004990,CEIP Alberto Alcocer,"Avda Canillejas a Vicálvaro, 56",079,Madrid,4476011,448074
28005003,CEIP Alfonso X El Sabio,"Calle Fuente de San Pedro, 6",079,Madrid,4472672,448767
28005039,CEIP Antonio Machado,"Calle Allariz, 3",079,Madrid,4468799,435939
28005076,CEIP De Prácticas Asunción Rincón,"Avda Filipinas, 5",079,Madrid,4476851,439688
28005091,CEIP Azorín,"Calle Godella, 57",079,Madrid,4466043,441685
28005106,CEIP Barcelona,"Avda La Verbena de La Paloma, 14",079,Madrid,4467790,440840
28005155,CEIP Bolivia,"Calle Villavaliente, 29",079,Madrid,4473252,436255
28005167,CEIP Escuelas Bosque,"Avda Santo Ángel de La Guarda, 4",079,Madrid,4478985,439610
28005179,CEIP Capitán Cortés,"Calle Monseñor Oscar Romero, 17",079,Madrid,4470296,436942
28005210,CEIP Cervantes,"Calle Raimundo Fernández Villaverde, 4",079,Madrid,4477565,440376
28005234,CEIP Ciudad de los Ángeles,"Calle Alegría de La Huerta, 6",079,Madrid,4467465,440891
28005246,CEIP Ciudad Pegaso,"Avda Séptima, 12",079,Madrid,4477575,449256
28005258,CEIP Claudio Moyano,"Calle Cea Bermúdez, 26",079,Madrid,4476726,439882
28005261,CEIP Conde de Romanones,"Calle Elfo, 143",079,Madrid,4476523,445534
28005271,CEIP Cristóbal Colón,"Ctra de Carabanchel a Villaverde, 109",079,Madrid,4466922,440053
28005349,CEIP Emilia Pardo Bazán,"Calle Ventorrillo, 14",079,Madrid,4473148,440135
28005350,CEIP Francisco Fatou,"Cmno de la Suerte, 23",079,Madrid,4469693,447509
28005374,CEIP Francisco de Quevedo,"Calle Granada, 16",079,Madrid,4472901,442352
28005386,CEIP Francisco Ruano,"Calle Almuradiel, 150",079,Madrid,4470163,442826
28005404,CEIP Fray Junípero Serra,"Cmno Valderribas, 120",079,Madrid,4471851,444127
28005428,CEE Fray Pedro Ponce de León,"Calle los Yébenes, 76 B",079,Madrid,4471680,436070
28005431,CEIP Reina Victoria,"Calle Príncipe de Vergara, 61",079,Madrid,4476087,442350
28005441,CEIP Gonzalo Fernández de Córdoba,"Calle Adanero, 3",079,Madrid,4471815,433886
28005465,CEIP Gustavo Adolfo Becquer,"Calle Santa Genoveva, 32",079,Madrid,4475009,444904
28005477,CEIP Haití,"Calle Guabairo, 22",079,Madrid,4470877,436617
28005489,CEIP Hermanos Pinzón,"Calle Azor, 4",079,Madrid,4472286,434760
28005490,CEIP Hernan Cortés,"Calle los Yébenes, 241",079,Madrid,4471470,436273
28005519,CEIP Honduras,"Paseo de Federico García Lorca, 19",079,Madrid,4469833,447321
28005520,CEE Hospital del Niño Jesús,"Avda Menéndez Pelayo, 65",079,Madrid,4473917,442574
28005556,CEE María Soriano,"Avda Peseta, 30",079,Madrid,4468285,435305
28005568,CEIP Isaac Peral,"Gta de Rufino Novalvos, 5",079,Madrid,4470924,437964
