"id","name","latitude","longitude","class","color"
"dataira1","Calle CONCEPCION ARENAL, 67, Narón: 67","43.4942798","-8.202297300000001","codere","#d2f6fc"
"dataira10","Travesia TRAVESIA DE MEICENDE, 12, A Coruña: A BALSA","43.33994999999999","-8.45638","codere","#d2f6fc"
"dataira100","VICENTE FERRI, 49, Canals: AMIGOS DE CANALS LOS","38.965396","-0.5870177","codere","#d2f6fc"
"dataira1000","Pintor Tomas Alfaro, 1: KEBAB ALI","42.8500975","-2.6819192","codere","#d2f6fc"
"dataira1001","Avenida MAESTRO SERRANO, 5, Alcàsser: KEBAB PIZZA KING","39.3708775","-0.4412281","codere","#d2f6fc"
"dataira1002","Calle HONDARRIBIA (ACCESO C/ZARAUTZ), 14 - Vitoria-Gasteiz, Vitoria: Kerkuss","42.865585","-2.6943729","codere","#d2f6fc"
"dataira1003","Euskal Herria, 7: KILKENNY","42.8514","-2.385883","codere","#d2f6fc"
"dataira1004","SABINO ARANA, 84, Leioa: KILKER","43.3248404","-2.9867308","codere","#d2f6fc"
"dataira1005","CASTELLANA, 19, Benidorm: KILLO","38.5447261","-0.1333667","codere","#d2f6fc"
"dataira1006","Francesc Tàrrega, 29, Villarreal: KING","39.9397706","-0.1005932","codere","#d2f6fc"
"dataira1007","AITA DONOSTIA, 8, Renteria: KING DONNER","43.31064749999999","-1.9121711","codere","#d2f6fc"
"dataira1008","ZARAGOZA, 61, Pamplona: KING DONNER KEBAB","42.8038675","-1.6441199","codere","#d2f6fc"
"dataira1009","Calle DE LOS FUEROS, 22, Corella: KIOSKO","42.1143382","-1.7839203","codere","#d2f6fc"
"dataira101","Avda. Alquería de Moret, 19-21: AMIGOS, LOS","39.4376246","-0.4273951","codere","#d2f6fc"
"dataira1010","Ronda Das Fontiñas, 114: KIQUE","43.0096896","-7.548619899999999","codere","#d2f6fc"
"dataira1011","CUHILLERIA, 32, Vitoria-Gasteiz: KIROL","42.8487133","-2.6710056","codere","#d2f6fc"
"dataira1012","Calle PI Y MARGALL, 100, Vigo: Kirsch","42.22841349999999","-8.7321339","codere","#d2f6fc"
"dataira1013","CANTABRIA ZEHARKALEA, 2, Ermua: KISKA","43.1871241","-2.5025188","codere","#d2f6fc"
"dataira1014","ALCOI, 9, Benidorm: KM PLAYA","38.536022","-0.124647","codere","#d2f6fc"
"dataira1015","Carrer De L'Ajuntament, 8: KOKIDO","38.7928393","0.03377480000000001","codere","#d2f6fc"
"dataira1016","ITURRAMA, 22, Pamplona: KOPAS","42.80538019999999","-1.6541316","codere","#d2f6fc"
"dataira1017","Plaza ALFONSO XII, 8, A Coruña: KOS","43.35821","-8.42029","codere","#d2f6fc"
"dataira1018","RICARDO PORTALES, 7, Vall Duixo: KRISMAR","39.8218336","-0.2375569","codere","#d2f6fc"
"dataira1019","Orense, 9, O Barco: KROM","42.33578929999999","-7.863880999999998","codere","#d2f6fc"
"dataira102","GENERAL CONCHA, 44, Bilbao: AMISTAD LA","43.2566112","-2.9364421","codere","#d2f6fc"
