id,class,color,name,longitude,latitude
fr1,councildata,#4b4c7a,CALLE ESPARTEROS 1,-3.704921900000000,40.416361100000003
fr2,councildata,#4b4c7a,CALLE MAYOR 6,-3.705441500000000,40.416684600000004
fr3,councildata,#4b4c7a,CALLE OLIVAR 54,-3.701431900000000,40.409161900000001
fr4,councildata,#4b4c7a,PLAZA MANUEL BECERRA 12,-3.667592199999999,40.428282000000003
fr5,councildata,#4b4c7a,CALLE ALCALA 126,-3.671652800000000,40.426464000000003
fr6,councildata,#4b4c7a,CALLE DOCTOR ESQUERDO 5,-3.668270700000000,40.427242399999997
fr7,councildata,#4b4c7a,CALLE RAMOS CARRION 11,-3.668146800000000,40.446626400000000
fr8,councildata,#4b4c7a,CALLE LOPEZ DE HOYOS 103,-3.672448400000000,40.445391200000003
fr9,councildata,#4b4c7a,CALLE CONSTANCIA 1,-3.674485400000000,40.441020999999999
fr10,councildata,#4b4c7a,CALLE BRAVO MURILLO 175,-3.703242100000000,40.453151400000003
fr11,councildata,#4b4c7a,CALLE FERNANDEZ DE LOS RIOS 79,-3.715228900000000,40.435323400000001
fr12,councildata,#4b4c7a,CALLE OLIVA DE PLASENCIA 1,-3.779563300000000,40.378500799999998
fr13,councildata,#4b4c7a,CALLE GENERAL RICARDOS 139,-3.729472400000000,40.389850600000003
fr14,councildata,#4b4c7a,CALLE GENERAL RICARDOS 153,-3.730958300000000,40.388872100000000
fr15,councildata,#4b4c7a,CALLE EUGENIA DE MONTIJO 110,-3.751166400000000,40.374625500000000
fr16,councildata,#4b4c7a,CALLE GENERAL RICARDOS 71,-3.722189300000000,40.393957100000002
fr17,councildata,#4b4c7a,CALLE GENERAL RICARDOS 176,-3.734087500000000,40.387250299999998
fr18,councildata,#4b4c7a,CALLE OCA 61,-3.739019700000000,40.388928200000002
fr19,councildata,#4b4c7a,CALLE LAGUNA 20,-3.742291000000000,40.391315800000008
fr20,councildata,#4b4c7a,CALLE GABINO JIMENO 5,-3.706904100000000,40.386631000000001
